101123122037710,BANKNIFTY 23 Dec 20 32000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2032000PE,10,11,37710,BANKNIFTY,26009,32000.0,PE,101000000026009,
101123122037712,BANKNIFTY 23 Dec 20 32500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2032500CE,10,11,37712,BANKNIFTY,26009,32500.0,CE,101000000026009,
101123122037716,BANKNIFTY 23 Dec 20 32500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2032500PE,10,11,37716,BANKNIFTY,26009,32500.0,PE,101000000026009,
101123122037717,BANKNIFTY 23 Dec 20 33000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2033000CE,10,11,37717,BANKNIFTY,26009,33000.0,CE,101000000026009,
101123122037718,BANKNIFTY 23 Dec 20 33000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2033000PE,10,11,37718,BANKNIFTY,26009,33000.0,PE,101000000026009,
101123122037719,BANKNIFTY 23 Dec 20 33500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2033500CE,10,11,37719,BANKNIFTY,26009,33500.0,CE,101000000026009,
101123122037725,BANKNIFTY 23 Dec 20 33500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2033500PE,10,11,37725,BANKNIFTY,26009,33500.0,PE,101000000026009,
101123122037726,BANKNIFTY 23 Dec 20 34000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2034000CE,10,11,37726,BANKNIFTY,26009,34000.0,CE,101000000026009,
101123122037727,BANKNIFTY 23 Dec 20 34000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2034000PE,10,11,37727,BANKNIFTY,26009,34000.0,PE,101000000026009,
101123122037730,BANKNIFTY 23 Dec 20 34500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2034500CE,10,11,37730,BANKNIFTY,26009,34500.0,CE,101000000026009,
101123122037731,BANKNIFTY 23 Dec 20 34500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2034500PE,10,11,37731,BANKNIFTY,26009,34500.0,PE,101000000026009,
101123122037732,BANKNIFTY 23 Dec 20 35000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2035000CE,10,11,37732,BANKNIFTY,26009,35000.0,CE,101000000026009,
101123122037737,BANKNIFTY 23 Dec 20 35000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2035000PE,10,11,37737,BANKNIFTY,26009,35000.0,PE,101000000026009,
101123122037738,BANKNIFTY 23 Dec 20 35500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2035500CE,10,11,37738,BANKNIFTY,26009,35500.0,CE,101000000026009,
